,Long,Short
2025-06-01 00:00:00+02:00,371.86,371.86
2025-06-01 00:15:00+02:00,57.5,57.5
2025-06-01 00:30:00+02:00,11.82,11.82
2025-06-01 00:45:00+02:00,7.19,7.19
2025-06-01 01:00:00+02:00,241.17,241.17
2025-06-01 01:15:00+02:00,-13.31,-13.31
2025-06-01 01:30:00+02:00,-11.21,-11.21
2025-06-01 01:45:00+02:00,6.11,6.11
2025-06-01 02:00:00+02:00,0.8,0.8
2025-06-01 02:15:00+02:00,7.34,7.34
2025-06-01 02:30:00+02:00,9.0,9.0
2025-06-01 02:45:00+02:00,4.56,4.56
2025-06-01 03:00:00+02:00,12.22,12.22
2025-06-01 03:15:00+02:00,37.37,37.37
2025-06-01 03:30:00+02:00,5.56,5.56
2025-06-01 03:45:00+02:00,5.56,5.56
2025-06-01 04:00:00+02:00,1.22,1.22
2025-06-01 04:15:00+02:00,76.11,76.11
2025-06-01 04:30:00+02:00,75.0,75.0
2025-06-01 04:45:00+02:00,72.66,72.66
2025-06-01 05:00:00+02:00,59.6,59.6
2025-06-01 05:15:00+02:00,54.59,54.59
2025-06-01 05:30:00+02:00,54.59,54.59
2025-06-01 05:45:00+02:00,-5.47,-5.47
2025-06-01 06:00:00+02:00,31.0,31.0
2025-06-01 06:15:00+02:00,17.82,17.82
2025-06-01 06:30:00+02:00,3.97,3.97
2025-06-01 06:45:00+02:00,-3.82,-3.82
2025-06-01 07:00:00+02:00,-32.05,-32.05
2025-06-01 07:15:00+02:00,-23.76,-23.76
2025-06-01 07:30:00+02:00,48.5,48.5
2025-06-01 07:45:00+02:00,30.0,30.0
2025-06-01 08:00:00+02:00,-15.14,-15.14
2025-06-01 08:15:00+02:00,-36.09,-36.09
2025-06-01 08:30:00+02:00,-26.5,-26.5
2025-06-01 08:45:00+02:00,-8.79,-8.79
2025-06-01 09:00:00+02:00,0.22,0.22
2025-06-01 09:15:00+02:00,-10.52,-10.52
2025-06-01 09:30:00+02:00,-11.22,-11.22
2025-06-01 09:45:00+02:00,-37.35,-37.35
2025-06-01 10:00:00+02:00,-16.09,-16.09
2025-06-01 10:15:00+02:00,-30.8,-30.8
2025-06-01 10:30:00+02:00,-7.96,-7.96
2025-06-01 10:45:00+02:00,-18.77,-18.77
2025-06-01 11:00:00+02:00,-2.07,-2.07
2025-06-01 11:15:00+02:00,-10.92,-10.92
2025-06-01 11:30:00+02:00,-6.0,-6.0
2025-06-01 11:45:00+02:00,-12.89,-12.89
2025-06-01 12:00:00+02:00,-5.48,-5.48
2025-06-01 12:15:00+02:00,-8.0,-8.0
2025-06-01 12:30:00+02:00,-8.26,-8.26
2025-06-01 12:45:00+02:00,-8.26,-8.26
2025-06-01 13:00:00+02:00,-13.27,-13.27
2025-06-01 13:15:00+02:00,-7.16,-7.16
2025-06-01 13:30:00+02:00,-7.16,-7.16
2025-06-01 13:45:00+02:00,-11.14,-11.14
2025-06-01 14:00:00+02:00,-24.14,-24.14
2025-06-01 14:15:00+02:00,-28.16,-28.16
2025-06-01 14:30:00+02:00,-737.55,-737.55
2025-06-01 14:45:00+02:00,-737.55,-737.55
2025-06-01 15:00:00+02:00,-20.12,-20.12
2025-06-01 15:15:00+02:00,-16.09,-16.09
2025-06-01 15:30:00+02:00,-4.15,-4.15
2025-06-01 15:45:00+02:00,-3.85,-3.85
2025-06-01 16:00:00+02:00,-32.76,-32.76
